Asset,Tier,Return (%),Drawdown (%),Ratio
SOLUSDT,Conservative,7.806460502069257,8.556289508209144,0.912365166533872
BTCUSDT,Conservative,2.2171577230893025,3.2709475807744353,0.6778334621199782
BTCUSDT,Aggressive,1.5417837145757396,2.8043677172460217,0.5497794405113964
ETHUSDT,Conservative,1.3032447046542828,5.478624703978637,0.23787807617263002
VARIOUS,🛡️ COFRE (Basis),1.25,0.05,25.0
ETHUSDT,Aggressive,0.5254327840343853,5.478624703978637,0.09590596407394182
BTCUSDT,Trend Hunter,0.0,0.0,0.0
ETHUSDT,Trend Hunter,0.0,0.0,0.0
SOLUSDT,Trend Hunter,0.0,0.0,0.0
SOLUSDT,Aggressive,-0.5893436330445145,8.556289508209144,-0.06887841189560986
